time[s],LF_EXT-LF_FLX,LH_EXT-LH_FLX,RF_EXT-RF_FLX,RH_EXT-RH_FLX
0.232,0,0.785181,-1.01512,0
0.233,0,0.78466,-1.01217,0
0.234,0,0.784115,-1.00923,0
0.235,0,0.783546,-1.00628,0
0.236,0,0.782953,-1.00335,0
0.237,0,0.782337,-1.00041,0
0.238,0,0.781697,-0.997486,0
0.239,0,0.781033,-0.994565,0
0.24,0,0.780346,-1.00362,0
0.241,0,0.779635,-1.01252,0
0.242,0,0.7789,-1.00924,0
0.243,0,0.778141,-1.00581,0
0.244,0,0.777359,-1.00241,0
0.245,0,0.776553,-0.999018,0
0.246,0,0.775723,-0.995643,0
0.247,0,0.77487,-1.00427,0
0.248,0,0.773993,-1.01276,0
0.249,0,0.773092,-1.00905,0
0.25,0,0.772168,-1.00521,0
0.251,0,0.77122,-1.0014,0
0.252,0,0.770248,-0.997621,0
0.253,0,0.769252,-0.993862,0
0.254,0,0.768233,-1.0021,0
0.255,0,0.767191,-1.0102,0
0.256,0,0.766125,-1.00613,0
0.257,0,0.765035,-1.00195,0
0.258,0,0.763922,-0.997796,0
0.259,0,0.762785,-0.99368,0
0.26,0,0.761624,-1.00157,0
0.261,0,0.76044,-1.00932,0
0.262,0,0.759233,-1.00492,0
0.263,0,0.758002,-1.00042,0
0.264,0,0.756748,-0.995949,0
0.265,0,0.75547,-0.991522,0
0.266,0,0.754169,-0.999088,0
0.267,0,0.752844,-1.00652,0
0.268,0,0.751496,-1.01382,0
0.269,0,0.750125,-1.00891,0
0.27,0,0.748731,-1.00391,0
0.271,0,0.747313,-0.998956,0
0.272,0,0.745872,-0.994055,0
0.273,0,0.744408,-1.00119,0
0.274,0,0.74292,-1.0082,0
0.275,0,0.74141,-1.00307,0
0.276,0,0.739877,-0.997849,0
0.277,0,0.73832,-0.992684,0
0.278,0,0.73674,-0.999551,0
0.279,0,0.735138,-1.00629,0
0.28,0,0.733512,-1.01291,0
0.281,0,0.731864,-1.00733,0
0.282,0,0.730193,-1.00167,0
0.283,0,0.728499,-0.996071,0
0.284,0,0.726782,-0.990542,0
0.285,0,0.725042,-0.997033,0
0.286,0,0.72328,-1.0034,0
0.287,0,0.721495,-1.00965,0
0.288,0,0.719688,-1.00374,0
0.289,0,0.717858,-0.997761,0
0.29,0,0.716005,-0.991853,0
0.291,0,0.714131,-0.997993,0
0.292,0,0.712233,-1.00402,0
0.293,0,0.710314,-1.00992,0
0.294,0,0.708372,-1.00367,0
0.295,0,0.706408,-0.997345,0
0.296,0,0.704422,-0.991106,0
0.297,0,0.702414,-0.996918,0
0.298,0,0.700383,-1.00262,0
0.299,0,0.698331,-1.0082,0
0.3,0,0.696257,-1.00165,0
0.301,0,0.694161,-0.995031,0
0.302,0,0.692043,-0.988505,0
0.303,0,0.689904,-0.99401,0
0.304,0,0.687743,-0.999405,0
0.305,0,0.68556,-1.00469,0
0.306,0,0.683356,-1.00987,0
0.307,0,0.681131,-1.00288,0
0.308,0,0.678884,-0.995848,0
0.309,0,0.676615,-0.988913,0
0.31,0,0.674326,-0.994027,0
0.311,0,0.672015,-0.999036,0
0.312,0,0.669683,-1.00394,0
0.313,0,0.667331,-1.00874,0
0.314,0,0.664957,-1.00139,0
0.315,0,0.662563,-0.993999,0
0.316,0,0.660148,-0.986717,0
0.317,0,0.657712,-0.991469,0
0.318,0,0.655255,-0.996121,0
0.319,0,0.652778,-1.00067,0
0.32,0,0.650281,-1.00512,0
0.321,0,0.647763,-0.997465,0
0.322,0,0.645225,-0.989778,0
0.323,0,0.642667,-0.994174,0
0.324,0,0.640089,-0.998472,0
0.325,0,0.63749,-1.00267,0
0.326,0,0.634872,-1.00678,0
0.327,0,0.632234,-0.998758,0
0.328,0,0.629577,-0.990712,0
0.329,0,0.626899,-0.994775,0
0.33,0,0.624203,-0.998743,0
0.331,0,0.621486,-1.00262,0
0.332,0,0.618751,-1.0064,0
0.333,0,0.615996,-0.99806,0
0.334,0,0.613222,-0.989703,0
0.335,0,0.610429,-0.993453,0
0.336,0,0.607617,-0.997112,0
0.337,0,0.604786,-1.00068,0
0.338,0,0.601937,-1.00416,0
0.339,0,0.599069,-0.995546,0
0.34,0,0.596182,-0.986921,0
0.341,0,0.593277,-0.990378,0
0.342,0,0.590354,-0.993749,0
0.343,0,0.587412,-0.997033,0
0.344,0,0.596442,-1.00023,0
0.345,0,0.605491,-1.00334,0
0.346,0,0.602495,-0.99437,0
0.347,0,0.599338,-0.985396,0
0.348,0,0.596166,-0.988498,0
0.349,0,0.592981,-0.991517,0
0.35,0,0.589782,-0.994454,0
0.351,0,0.586569,-0.997309,0
0.352,0,0.595312,-1.00008,0
0.353,0,0.604073,-1.00278,0
0.354,0,0.60082,-0.993389,0
0.355,0,0.59741,-0.984011,0
0.356,0,0.593989,-0.986707,0
0.357,0,0.590558,-0.989325,0
0.358,0,0.599116,-0.991864,0
0.359,0,0.607689,-0.994327,0
0.36,0,0.604229,-0.996713,0
0.361,0,0.600616,-0.999023,0
0.362,0,0.596994,-1.00126,0
0.363,0,0.593367,-1.00342,0
0.364,0,0.601731,-0.993489,0
0.365,0,0.610112,-0.983581,0
0.366,0,0.606463,-0.985762,0
0.367,0,0.602665,-0.98787,0
0.368,0,0.598862,-0.989905,0
0.369,0,0.595055,-0.991869,0
0.37,0,0.603221,-0.993762,0
0.371,0,0.611401,-0.995584,0
0.372,0,0.607581,-0.997337,0
0.373,0,0.603614,-0.99902,0
0.374,0,0.599644,-1.00064,0
0.375,0,0.607663,-1.00218,0
0.376,0,0.615697,-0.991656,0
0.377,0,0.611721,-0.981164,0
0.378,0,0.6076,-0.982752,0
0.379,0,0.603479,-0.984274,0
0.38,0,0.611348,-0.98573,0
0.381,0,0.619229,-0.987121,0
0.382,0,0.615108,-0.988448,0
0.383,0,0.610845,-0.98971,0
0.384,0,0.606582,-0.99091,0
0.385,0,0.614296,-0.992047,0
0.386,0,0.622021,-0.993122,0
0.387,0,0.629758,-0.994136,0
0.388,0,0.625432,-0.995089,0
0.389,0,0.620965,-0.995981,0
0.39,0,0.616503,-0.996815,0
0.391,0,0.612047,-0.997589,0
0.392,0,0.619549,-0.998305,0
0.393,0,0.627061,-0.998963,0
0.394,0,0.634583,-0.999564,0
0.395,0,0.630073,-1.00011,0
0.396,0,0.625424,-1.0006,0
0.397,0,0.620781,-0.989029,0
0.398,0,0.628125,-0.977521,0
0.399,0,0.635479,-0.978084,0
0.4,0,0.642842,-0.978593,0
0.401,0,0.638155,-0.979048,0
0.402,0,0.633331,-0.979449,0
0.403,0,0.628516,-0.979796,0
0.404,0,0.635696,-0.980091,0
0.405,0,0.642883,-0.980334,0
0.406,0,0.650079,-0.980526,0
0.407,0,0.645227,-0.980667,0
0.408,0,0.640241,-0.980757,0
0.409,0,0.635266,-0.980797,0
0.41,0,0.642273,-0.980789,0
0.411,0,0.649288,-0.980731,0
0.412,0,0.65631,-0.980625,0
0.413,0,0.651304,-0.980472,0
0.414,0,0.646165,-0.980271,0
0.415,0,0.641037,-0.980024,0
0.416,0,0.647867,-0.97973,0
0.417,0,0.654703,-0.979392,0
0.418,0,0.661544,-0.979008,0
0.419,0,0.668391,-0.978579,0
0.42,0,0.663179,-0.978106,0
0.421,0,0.657836,-0.97759,0
0.422,0,0.652507,-0.977031,0
0.423,0,0.659155,-0.97643,0
0.424,0,0.665809,-0.975786,0
0.425,0,0.672466,-0.975101,0
0.426,0,0.66712,-0.974375,0
0.427,0,0.661644,-0.973608,0
0.428,0,0.668168,-0.972802,0
0.429,0,0.674696,-0.971955,0
0.43,0,0.681227,-0.97107,0
0.431,0,0.675738,-0.970146,0
0.432,0,0.67012,-0.969184,0
0.433,0,0.676515,-0.968185,0
0.434,0,0.682912,-0.967148,0
0.435,0,0.689312,-0.966075,0
0.436,0,0.683686,-0.964965,0
0.437,0,0.677933,-0.96382,0
0.438,0,0.684193,-0.962639,0
0.439,0,0.690455,-0.961424,0
0.44,0,0.696717,-0.960174,0
0.441,0,0.69096,-0.95889,0
0.442,0,0.685077,-0.957572,0
0.443,0,0.691197,-0.956222,0
0.444,0,0.697318,-0.954839,0
0.445,0,0.703439,-0.953424,0
0.446,0,0.697555,-0.951977,0
0.447,0,0.691546,-0.950499,0
0.448,0,0.697521,-0.94899,0
0.449,0,0.703496,-0.94745,0
0.45,0,0.709471,-0.945881,0
0.451,0,0.715444,-0.944282,0
0.452,0,0.709384,-0.942654,0
0.453,0,0.7032,-0.940997,0
0.454,0,0.709024,-0.939312,0
0.455,0,0.714846,-0.937598,0
0.456,0,0.720666,-0.935858,0
0.457,0,0.726483,-0.93409,0
0.458,0,0.720255,-0.932295,0
0.459,0,0.713903,-0.930474,0
0.46,0,0.719568,-0.928628,0
0.461,0,0.725229,-0.926755,0
0.462,0,0.730887,-0.924858,0
0.463,0,0.736541,-0.922936,0
0.464,0,0.730151,-0.920989,0
0.465,0,0.723638,-0.919019,0
0.466,0,0.729135,-0.917025,0
0.467,0,0.734628,-0.915008,0
0.468,0,0.740116,-0.912968,0
0.469,0,0.745599,-0.910905,0
0.47,0,0.739052,-0.908821,0
0.471,0,0.732383,-0.906714,0
0.472,0,0.737706,-0.904587,0
0.473,0,0.743023,-0.902438,0
0.474,0,0.748334,-0.900269,0
0.475,0,0.753639,-0.898079,0
0.476,0,0.758937,-0.89587,0
0.477,0,0.752188,-0.89364,0
0.478,0,0.745318,-0.891392,0
0.479,0,0.750451,-0.889125,0
0.48,0,0.755578,-0.886839,0
0.481,0,0.760696,-0.884535,0
0.482,0,0.765807,-0.882213,0
0.483,0,0.77091,-0.879874,0
0.484,0,0.763967,-0.877517,0
0.485,0,0.756903,-0.875144,0
0.486,0,0.761837,-0.872754,0
0.487,0,0.766761,-0.870348,0
0.488,0,0.771677,-0.867925,0
0.489,0,0.776583,-0.865488,0
0.49,0,0.781481,-0.863035,0
0.491,0,0.774348,-0.860567,0
0.492,0,0.767097,-0.858084,0
0.493,0,0.77182,-0.855588,0
0.494,0,0.776532,-0.853077,0
0.495,0,0.781235,-0.850552,0
0.496,0,0.785927,-0.848014,0
0.497,0,0.790608,-0.845463,0
0.498,0,0.795277,-0.842899,0
0.499,0,0.787914,-0.840323,0
0.5,0,0.780433,-0.837734,0
0.501,0,0.784923,-0.835133,0
0.502,0,0.789402,-0.832521,0
0.503,0,0.793868,-0.829897,0
0.504,0,0.798322,-0.827263,0
0.505,0,0.802763,-0.824617,0
0.506,0,0.807191,-0.821961,0
0.507,0,0.799604,-0.819294,0
0.508,0,0.791901,-0.816618,0
0.509,0,0.796144,-0.813932,0
0.51,0,0.800375,-0.811237,0
0.511,0,0.804591,-0.808532,0
0.512,0,0.808794,-0.805818,0
0.513,0,0.812981,-0.803096,0
0.514,0,0.817155,-0.800365,0
0.515,0,0.821313,-0.797626,0
0.516,0,0.825456,-0.79488,0
0.517,0,0.817563,-0.792125,0
0.518,-0.000920629,0.809554,-0.789363,0
0.519,-0.00519065,0.813506,-0.786595,0
0.52,-0.00949326,0.81746,-0.7838,0
0.521,-0.0138249,0.821484,-0.780914,0
0.522,-0.0181868,0.825578,-0.777937,0
0.523,-0.0225826,0.829743,-0.774868,0
0.524,-0.0270161,0.833981,-0.771709,0
0.525,-0.0314909,0.838291,-0.76846,0
0.526,-0.0360106,0.842675,-0.765122,0
0.527,-0.0405785,0.835128,-0.761694,0
0.528,-0.0451981,0.82756,-0.758176,0
0.529,-0.0498728,0.832029,-0.75457,0
0.53,-0.0546019,0.836577,-0.750875,0
0.531,-0.059385,0.841206,-0.74709,0
0.532,-0.0642254,0.845916,-0.743217,0
0.533,-0.0691266,0.85071,-0.739254,0
0.534,-0.0740917,0.855589,-0.735203,0
0.535,-0.079124,0.860554,-0.731063,0
0.536,-0.0842268,0.865606,-0.726833,0
0.537,-0.0894031,0.870749,-0.722514,0
0.538,-0.0946561,0.875982,-0.718105,0
0.539,-0.0999888,0.869291,-0.713606,0
0.54,-0.105404,0.8626,-0.709016,0
0.541,-0.110906,0.867974,-0.704336,0
0.542,-0.116492,0.873448,-0.699564,0
0.543,-0.122162,0.879023,-0.694701,0
0.544,-0.127919,0.884701,-0.689745,0
0.545,-0.133767,0.890484,-0.684696,0
0.546,-0.139709,0.896375,-0.679553,0
0.547,-0.145746,0.902376,-0.674317,0
0.548,-0.151884,0.908489,-0.668986,0
0.549,-0.158124,0.914717,-0.66356,0
0.55,-0.16447,0.921061,-0.658037,0
0.551,-0.170924,0.915505,-0.652418,0
0.552,-0.17749,0.909974,-0.6467,0
0.553,-0.184171,0.91654,-0.640885,0
0.554,-0.190965,0.923233,-0.634969,0
0.555,-0.197873,0.930057,-0.628953,0
0.556,-0.204896,0.937013,-0.622836,0
0.557,-0.212039,0.944106,-0.616616,0
0.558,-0.219305,0.951337,-0.610293,0
0.559,-0.226696,0.95871,-0.603865,0
0.56,-0.234216,0.966227,-0.597332,0
